Reference,Quantity,Value,Footprint,LCSC Part #
"C1, C2, C3, ",3,10uF,SMD_5x5.4mm, C72487
"C4, C6, ",2,22pF,0805,C1804 
"C5, ",1,10uF,0805,C15850 
"C7, ",1,100nF,0805,C49678 
"C12, ",1,0.1uF,0805,C49678 
"D1, ",1,POWER_LED,0805,C2297 
"D2, ",1,D_Schottky,SOD-123,C8598 
"D3, ",1,D,SOD-123,C8598 
"D4, ",1,ESP_LED,0805,C2297 
"D5, ",1,D_Small,SOD-123,C8598 
"Q1, Q2, ",2,MMBT3904,SOT-23,C20526 
"Q3, ",1,PZT2222A,SOT-223,C189428 
"R1, ",1,1K,0805,C17513 
"R2, R3, R4, R5, R8, R9, ",6,10K,0805,C17414 
"R10, ",1,5K6,0805,C28636 
"R11, ",1,50,0805,C17408 
"R12, ",1,100R,0805,C17408 
"SW1, ",1,BOOT,SMD-4_6.0x6.0x4.5P-1,C136669 
"SW2, ",1,RESET,SMD-4_6.0x6.0x4.5P-1,C136669 
"U1, ",1,AMS1117-3.3,SOT-223,C6186 
"U2, ",1,AMS1117-5.0,SOT-223,C6187 
"U3, ",1,ESP32-WROOM-32D,SMD-38_EP_18.0x25.5x1.27P,C473012 
"U4, ",1,CH340G,SOIC-16_3.9x9.9x1.27P ,C14267 
"U5, ",1,74HC14,SOIC-14_3.9x8.7x1.27P,C5605 
"Y1, ",1,12Mhz,SMD-3225_4P ,C9002 
